Entidad,Total,Buscar trabajo,Cambio u oferta de trabajo,Reunirse con la familia,Se caso o unio,Estudiar,Por inseguridad delictiva o violencia,Por desastres naturales,Le deportaron (regresaron),Otra causa,Causa no especificada,No migrante,No especificado
Nacional,115693273,1129177,855435,2515611,636148,463170,274158,24742,41390,860165,88494,108417559,387224
Aguascalientes,1299669,8883,13511,31795,6074,5727,5366,264,660,7070,1007,1216402,2910
Baja California,3494500,96577,21532,98222,10169,12430,8260,276,4850,12725,4944,3199636,24879
Baja California Sur,732150,31441,11539,29550,2236,4082,2549,104,324,3011,999,641955,4360
Campeche,845134,6191,6074,15332,2427,2938,1844,56,92,2164,439,806261,1316
Coahuila de Zaragoza,2860700,28756,19759,48631,8673,8853,3448,98,1131,9912,1816,2724491,5132
Colima,677122,8384,8338,21940,3793,3931,1811,49,328,5916,596,619982,2054
Chiapas,4941832,24983,17482,60350,12467,11422,8020,390,534,12575,1539,4782285,9785
Chihuahua,3442944,48931,16091,58846,7678,12268,3759,99,2444,8199,2326,3264417,17886
Ciudad de México,8720414,76968,103183,149171,89115,57186,26745,8370,1002,122627,9013,8035751,41283
Durango,1661875,7783,8712,30459,5989,4615,2076,75,1092,5540,1054,1585516,8964
Guanajuato,5616039,29257,34547,68994,12842,11880,5471,453,2163,13886,3767,5414138,18641
Guerrero,3190810,15756,13023,53721,9555,12249,5557,295,1613,8381,1369,3065180,4111
Hidalgo,2841446,18066,25403,99040,23057,13897,17228,908,1033,46579,2060,2586520,7655
Jalisco,7626117,67702,68514,196690,46905,35479,15877,670,2431,83707,6447,7083552,18143
México,15707805,77873,90930,332686,116269,39964,42925,4428,2172,180091,17034,14724794,78639
Michoacán de Ocampo,4315479,27454,23201,80894,15645,16507,6439,322,2779,15940,2468,4108629,15201
Morelos,1825133,14224,14369,50403,13470,7284,7352,1535,938,22611,1492,1685875,5580
Nayarit,1130687,15227,11114,36756,5800,5912,2008,164,812,8034,755,1040418,3687
Nuevo León,5311401,133541,61178,210876,67656,29378,12210,568,1423,101303,6228,4663280,23760
Oaxaca,3762907,25274,23788,100320,24782,19003,6417,799,1305,29340,1731,3521103,9045
Puebla,5998828,32482,35245,112146,30219,30467,12380,830,1175,27488,2852,5698704,14840
Querétaro,2173750,50708,43230,75758,11580,16919,21851,1652,608,22284,1919,1921150,6091
Quintana Roo,1689232,94945,23720,68797,7124,8817,6778,346,368,9660,2544,1458160,7973
San Luis Potosí,2589382,14789,17315,48529,9954,8224,3506,169,1436,9824,2161,2465110,8365
Sinaloa,2788482,27239,18666,48129,6526,10640,2547,144,861,6406,1522,2660203,5599
Sonora,2723770,32620,22362,55800,7639,11059,2541,142,2155,7119,1613,2573548,7172
Tabasco,2194845,8531,9928,24772,6392,4735,2082,140,137,5805,763,2125561,5999
Tamaulipas,3250741,41267,17519,61714,10062,11186,3898,153,2695,10651,1991,3082589,7016
Tlaxcala,1211592,5045,7615,26241,10930,2895,3307,199,156,9315,745,1142754,2390
Veracruz de Ignacio de la Llave,7458856,34589,40314,141953,33130,22653,10065,662,1304,31791,2947,7125965,13483
Yucatán,2141096,15622,18445,48562,11391,14093,18400,341,138,14381,1469,1995274,2980
Zacatecas,1468535,8069,8788,28534,6599,6477,1441,41,1231,5830,884,1398356,2285
